run_key,run_display,probe_parent_key,probe_parent_display,model_family,run_group,variant_label,probe_source_variant,is_probe,is_placeholder,probe_eval_setting,raw_accuracy,norm_accuracy,raw_macro_f1,norm_macro_f1,raw_macro_precision,norm_macro_precision,raw_macro_recall,norm_macro_recall,n_examples,used_in_main_plots,accuracy_rank_within_probe,macro_f1_rank_within_probe,selection_reason,family_rank,run_group_rank,variant_rank,probe_source_rank,probe_setting_rank
llama32_3b_dpo_probe:layer_75pct,Llama Probe Post-Training DPO (75% depth layer),llama32_3b_dpo_probe,Llama Probe Post-Training DPO,llama,Probe,75% depth layer,Post-Training DPO,True,False,Zero-shot,0.5399780941949617,0.5399780941949617,0.5427117943983752,0.5427117943983752,0.5641269495603748,0.5641269495603748,0.5378628022695819,0.5378628022695819,3652,False,3,3,,0,3,7,3,0
llama32_3b_dpo_probe:last,Llama Probe Post-Training DPO (Last layer),llama32_3b_dpo_probe,Llama Probe Post-Training DPO,llama,Probe,Last layer,Post-Training DPO,True,False,Zero-shot,0.5531215772179627,0.5531215772179627,0.5459590759093427,0.5459590759093427,0.5568144277831513,0.5568144277831513,0.5437236267744742,0.5437236267744742,3652,True,1,1,Highest accuracy,0,3,8,3,0
gemma3_4b_probe_base:middle,Gemma Probe Prompting Zero-shot (Middle layer),gemma3_4b_probe_base,Gemma Probe Prompting Zero-shot,gemma,Probe,Middle layer,Prompting Zero-shot,True,False,Zero-shot,0.48576122672508215,0.48576122672508215,0.4834922832798079,0.4834922832798079,0.4886979533310278,0.4886979533310278,0.48175851396190383,0.48175851396190383,3652,False,2,1,,1,3,6,0,0
gemma3_4b_probe_base:layer_75pct,Gemma Probe Prompting Zero-shot (75% depth layer),gemma3_4b_probe_base,Gemma Probe Prompting Zero-shot,gemma,Probe,75% depth layer,Prompting Zero-shot,True,False,Zero-shot,0.4871303395399781,0.4871303395399781,0.48268771105778424,0.48268771105778424,0.4847058401337841,0.4847058401337841,0.4814642729896967,0.4814642729896967,3652,True,1,2,Highest accuracy,1,3,7,0,0
gemma3_4b_probe_base:last,Gemma Probe Prompting Zero-shot (Last layer),gemma3_4b_probe_base,Gemma Probe Prompting Zero-shot,gemma,Probe,Last layer,Prompting Zero-shot,True,False,Zero-shot,0.46221248630887185,0.46221248630887185,0.4558711473193396,0.4558711473193396,0.47623346283541773,0.47623346283541773,0.45470894623437,0.45470894623437,3652,False,3,3,,1,3,8,0,0
gemma3_4b_probe_4shot:middle,Gemma Probe Prompting 4-shot (Middle layer),gemma3_4b_probe_4shot,Gemma Probe Prompting 4-shot,gemma,Probe,Middle layer,Prompting 4-shot,True,True,4-shot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3652,True,1,1,Pending (corrupted 4-shot probe),1,3,6,1,1
gemma3_4b_probe_4shot:layer_75pct,Gemma Probe Prompting 4-shot (75% depth layer),gemma3_4b_probe_4shot,Gemma Probe Prompting 4-shot,gemma,Probe,75% depth layer,Prompting 4-shot,True,True,4-shot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3652,False,1,1,,1,3,7,1,1
gemma3_4b_probe_4shot:last,Gemma Probe Prompting 4-shot (Last layer),gemma3_4b_probe_4shot,Gemma Probe Prompting 4-shot,gemma,Probe,Last layer,Prompting 4-shot,True,True,4-shot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3652,False,1,1,,1,3,8,1,1
gemma3_4b_sft_probe:middle,Gemma Probe Post-Training SFT (Middle layer),gemma3_4b_sft_probe,Gemma Probe Post-Training SFT,gemma,Probe,Middle layer,Post-Training SFT,True,False,Zero-shot,0.5783132530120482,0.5783132530120482,0.5798207354881598,0.5798207354881598,0.592541272495683,0.592541272495683,0.5800543885289647,0.5800543885289647,3652,False,3,3,,1,3,6,2,0
gemma3_4b_sft_probe:layer_75pct,Gemma Probe Post-Training SFT (75% depth layer),gemma3_4b_sft_probe,Gemma Probe Post-Training SFT,gemma,Probe,75% depth layer,Post-Training SFT,True,False,Zero-shot,0.6117196056955093,0.6117196056955093,0.6117965330712928,0.6117965330712928,0.6214786614719773,0.6214786614719773,0.6112313281804806,0.6112313281804806,3652,True,1,1,Highest accuracy,1,3,7,2,0
gemma3_4b_sft_probe:last,Gemma Probe Post-Training SFT (Last layer),gemma3_4b_sft_probe,Gemma Probe Post-Training SFT,gemma,Probe,Last layer,Post-Training SFT,True,False,Zero-shot,0.6087075575027382,0.6087075575027382,0.6085469115051599,0.6085469115051599,0.6164228247641219,0.6164228247641219,0.6077787230329603,0.6077787230329603,3652,False,2,2,,1,3,8,2,0
gemma3_4b_dpo_probe:middle,Gemma Probe Post-Training DPO (Middle layer),gemma3_4b_dpo_probe,Gemma Probe Post-Training DPO,gemma,Probe,Middle layer,Post-Training DPO,True,False,Zero-shot,0.5112267250821467,0.5112267250821467,0.5135524782010951,0.5135524782010951,0.5296808140653307,0.5296808140653307,0.5117958151856457,0.5117958151856457,3652,False,2,1,,1,3,6,3,0
gemma3_4b_dpo_probe:layer_75pct,Gemma Probe Post-Training DPO (75% depth layer),gemma3_4b_dpo_probe,Gemma Probe Post-Training DPO,gemma,Probe,75% depth layer,Post-Training DPO,True,False,Zero-shot,0.5062979189485214,0.5062979189485214,0.5039117467894402,0.5039117467894402,0.5083501751037462,0.5083501751037462,0.5059202059202059,0.5059202059202059,3652,False,3,3,,1,3,7,3,0
gemma3_4b_dpo_probe:last,Gemma Probe Post-Training DPO (Last layer),gemma3_4b_dpo_probe,Gemma Probe Post-Training DPO,gemma,Probe,Last layer,Post-Training DPO,True,False,Zero-shot,0.5128696604600219,0.5128696604600219,0.5061486364329238,0.5061486364329238,0.5085541669239034,0.5085541669239034,0.5053210595583477,0.5053210595583477,3652,True,1,2,Highest accuracy,1,3,8,3,0
