run_key,run_display,model_family,variant_label,scoring,behavior_class,accuracy,precision,recall,f1,support,family_rank,variant_rank
llama32_3b_dpo_zeroshot_eval,Llama DPO (llama32_3b_dpo_zeroshot_eval),llama,DPO,normalized,direct,0.9225082146768894,0.0,0.0,0.0,0.0,0,3
llama32_3b_dpo_zeroshot_eval,Llama DPO (llama32_3b_dpo_zeroshot_eval),llama,DPO,normalized,tool_call,0.7007119386637459,0.5447695035460993,0.949034749034749,0.6921993804562095,1295.0,0,3
llama32_3b_dpo_zeroshot_eval,Llama DPO (llama32_3b_dpo_zeroshot_eval),llama,DPO,normalized,request_for_info,0.7332968236582694,0.6257142857142857,0.2062146892655367,0.3101983002832861,1062.0,0,3
llama32_3b_dpo_zeroshot_eval,Llama DPO (llama32_3b_dpo_zeroshot_eval),llama,DPO,normalized,cannot_answer,0.8138006571741512,0.9030144167758847,0.532046332046332,0.6695821185617103,1295.0,0,3
gemma3_4b_zeroshot,Gemma 0-shot (gemma3_4b_zeroshot),gemma,0-shot,raw,direct,0.8012048192771084,0.0,0.0,0.0,0.0,1,0
gemma3_4b_zeroshot,Gemma 0-shot (gemma3_4b_zeroshot),gemma,0-shot,raw,tool_call,0.589539978094195,0.4235382308845577,0.4362934362934363,0.4298212248003043,1295.0,1,0
gemma3_4b_zeroshot,Gemma 0-shot (gemma3_4b_zeroshot),gemma,0-shot,raw,request_for_info,0.5892661555312158,0.2861328125,0.275894538606403,0.2809204218600192,1062.0,1,0
gemma3_4b_zeroshot,Gemma 0-shot (gemma3_4b_zeroshot),gemma,0-shot,raw,cannot_answer,0.6174698795180723,0.4102112676056338,0.1799227799227799,0.25013419216317767,1295.0,1,0
gemma3_4b_zeroshot,Gemma 0-shot (gemma3_4b_zeroshot),gemma,0-shot,normalized,direct,0.7332968236582694,0.0,0.0,0.0,0.0,1,0
gemma3_4b_zeroshot,Gemma 0-shot (gemma3_4b_zeroshot),gemma,0-shot,normalized,tool_call,0.5859802847754655,0.40812870448772226,0.3722007722007722,0.3893376413570275,1295.0,1,0
gemma3_4b_zeroshot,Gemma 0-shot (gemma3_4b_zeroshot),gemma,0-shot,normalized,request_for_info,0.6289704271631983,0.31145431145431146,0.2278719397363465,0.26318651441000546,1062.0,1,0
gemma3_4b_zeroshot,Gemma 0-shot (gemma3_4b_zeroshot),gemma,0-shot,normalized,cannot_answer,0.6119934282584885,0.4152777777777778,0.2308880308880309,0.2967741935483871,1295.0,1,0
gemma3_4b_4shot,Gemma 4-shot (gemma3_4b_4shot),gemma,4-shot,raw,direct,0.78039430449069,0.0,0.0,0.0,0.0,1,1
gemma3_4b_4shot,Gemma 4-shot (gemma3_4b_4shot),gemma,4-shot,raw,tool_call,0.5884446878422782,0.4063063063063063,0.34826254826254827,0.3750519750519751,1295.0,1,1
gemma3_4b_4shot,Gemma 4-shot (gemma3_4b_4shot),gemma,4-shot,raw,request_for_info,0.5854326396495071,0.29785330948121647,0.3135593220338983,0.3055045871559633,1062.0,1,1
gemma3_4b_4shot,Gemma 4-shot (gemma3_4b_4shot),gemma,4-shot,raw,cannot_answer,0.6136363636363636,0.4067524115755627,0.19536679536679535,0.26395409494001043,1295.0,1,1
gemma3_4b_4shot,Gemma 4-shot (gemma3_4b_4shot),gemma,4-shot,normalized,direct,0.7256297918948521,0.0,0.0,0.0,0.0,1,1
gemma3_4b_4shot,Gemma 4-shot (gemma3_4b_4shot),gemma,4-shot,normalized,tool_call,0.5878970427163198,0.40205223880597013,0.3328185328185328,0.3641740599915505,1295.0,1,1
gemma3_4b_4shot,Gemma 4-shot (gemma3_4b_4shot),gemma,4-shot,normalized,request_for_info,0.6254107338444688,0.31957547169811323,0.2551789077212806,0.2837696335078534,1062.0,1,1
gemma3_4b_4shot,Gemma 4-shot (gemma3_4b_4shot),gemma,4-shot,normalized,cannot_answer,0.6081599123767798,0.40684931506849314,0.22934362934362934,0.29333333333333333,1295.0,1,1
gemma3_4b_sft_zeroshot_eval,Gemma SFT (gemma3_4b_sft_zeroshot_eval),gemma,SFT,raw,direct,0.816538882803943,0.0,0.0,0.0,0.0,1,2
gemma3_4b_sft_zeroshot_eval,Gemma SFT (gemma3_4b_sft_zeroshot_eval),gemma,SFT,raw,tool_call,0.5785870755750274,0.41801075268817206,0.4803088803088803,0.44699964067553,1295.0,1,2
gemma3_4b_sft_zeroshot_eval,Gemma SFT (gemma3_4b_sft_zeroshot_eval),gemma,SFT,raw,request_for_info,0.6481380065717415,0.3381712626995646,0.2193973634651601,0.2661336379211879,1062.0,1,2
gemma3_4b_sft_zeroshot_eval,Gemma SFT (gemma3_4b_sft_zeroshot_eval),gemma,SFT,raw,cannot_answer,0.6139101861993428,0.42857142857142855,0.26640926640926643,0.32857142857142857,1295.0,1,2
gemma3_4b_sft_zeroshot_eval,Gemma SFT (gemma3_4b_sft_zeroshot_eval),gemma,SFT,normalized,direct,0.7070098576122672,0.0,0.0,0.0,0.0,1,2
gemma3_4b_sft_zeroshot_eval,Gemma SFT (gemma3_4b_sft_zeroshot_eval),gemma,SFT,normalized,tool_call,0.5681818181818182,0.39285714285714285,0.3992277992277992,0.3960168517809268,1295.0,1,2
gemma3_4b_sft_zeroshot_eval,Gemma SFT (gemma3_4b_sft_zeroshot_eval),gemma,SFT,normalized,request_for_info,0.6829134720700986,0.3805970149253731,0.1440677966101695,0.20901639344262296,1062.0,1,2
gemma3_4b_sft_zeroshot_eval,Gemma SFT (gemma3_4b_sft_zeroshot_eval),gemma,SFT,normalized,cannot_answer,0.6065169769989047,0.41782407407407407,0.27876447876447874,0.3344140805928671,1295.0,1,2
gemma3_4b_dpo_zeroshot_eval,Gemma DPO (gemma3_4b_dpo_zeroshot_eval),gemma,DPO,raw,direct,0.812157721796276,0.0,0.0,0.0,0.0,1,3
gemma3_4b_dpo_zeroshot_eval,Gemma DPO (gemma3_4b_dpo_zeroshot_eval),gemma,DPO,raw,tool_call,0.5988499452354874,0.4346153846153846,0.4362934362934363,0.43545279383429675,1295.0,1,3
gemma3_4b_dpo_zeroshot_eval,Gemma DPO (gemma3_4b_dpo_zeroshot_eval),gemma,DPO,raw,request_for_info,0.5843373493975904,0.2832699619771863,0.2806026365348399,0.28192999053926204,1062.0,1,3
gemma3_4b_dpo_zeroshot_eval,Gemma DPO (gemma3_4b_dpo_zeroshot_eval),gemma,DPO,raw,cannot_answer,0.6191128148959474,0.4218241042345277,0.2,0.2713462545835516,1295.0,1,3
gemma3_4b_dpo_zeroshot_eval,Gemma DPO (gemma3_4b_dpo_zeroshot_eval),gemma,DPO,normalized,direct,0.7439759036144579,0.0,0.0,0.0,0.0,1,3
gemma3_4b_dpo_zeroshot_eval,Gemma DPO (gemma3_4b_dpo_zeroshot_eval),gemma,DPO,normalized,tool_call,0.5963855421686747,0.4212840809146878,0.3698841698841699,0.3939144736842105,1295.0,1,3
gemma3_4b_dpo_zeroshot_eval,Gemma DPO (gemma3_4b_dpo_zeroshot_eval),gemma,DPO,normalized,request_for_info,0.6185651697699891,0.2984165651644336,0.23069679849340866,0.26022304832713755,1062.0,1,3
gemma3_4b_dpo_zeroshot_eval,Gemma DPO (gemma3_4b_dpo_zeroshot_eval),gemma,DPO,normalized,cannot_answer,0.6144578313253012,0.42555994729907776,0.2494208494208494,0.314508276533593,1295.0,1,3
